antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'fatigue', 'swelled_lymph_nodes'})",frozenset({'malaise'}),0.06707317073170732,0.14268292682926828,0.06585365853658537,0.9818181818181818,6.881118881118882,1.0,0.05628346222486615,47.152439024390226,0.9161220043572985,0.45762711864406785,0.9787921893185051,0.7216783216783217
"frozenset({'chills', 'malaise', 'chest_pain'})",frozenset({'phlegm'}),0.06707317073170732,0.07195121951219512,0.06585365853658537,0.9818181818181818,13.645608628659478,1.0,0.061027662105889356,51.04268292682925,0.9933430162188334,0.8999999999999999,0.9804085533389081,0.9485362095531588
"frozenset({'high_fever', 'swelled_lymph_nodes'})",frozenset({'malaise'}),0.06707317073170732,0.14268292682926828,0.06585365853658537,0.9818181818181818,6.881118881118882,1.0,0.05628346222486615,47.152439024390226,0.9161220043572985,0.45762711864406785,0.9787921893185051,0.7216783216783217
"frozenset({'fatigue', 'cough', 'chest_pain'})",frozenset({'phlegm'}),0.06585365853658537,0.07195121951219512,0.06463414634146342,0.9814814814814815,13.640929064657879,1.0,0.05989589530041642,50.114634146341544,0.992019311296123,0.8833333333333332,0.9800457487711102,0.9398932831136222
"frozenset({'joint_pain', 'dark_urine'})",frozenset({'yellowing_of_eyes'}),0.06585365853658537,0.16585365853658537,0.06463414634146342,0.9814814814814815,5.917755991285403,1.0,0.053712076145151694,45.04390243902446,0.8896004729297009,0.3868613138686131,0.9777994368637644,0.6855936819172114
"frozenset({'fatigue', 'high_fever', 'chest_pain'})",frozenset({'phlegm'}),0.06585365853658537,0.07195121951219512,0.06463414634146342,0.9814814814814815,13.640929064657879,1.0,0.05989589530041642,50.114634146341544,0.992019311296123,0.8833333333333332,0.9800457487711102,0.9398932831136222
"frozenset({'high_fever', 'cough', 'chest_pain'})",frozenset({'phlegm'}),0.06585365853658537,0.07195121951219512,0.06463414634146342,0.9814814814814815,13.640929064657879,1.0,0.05989589530041642,50.114634146341544,0.992019311296123,0.8833333333333332,0.9800457487711102,0.9398932831136222
"frozenset({'joint_pain', 'fatigue'})",frozenset({'loss_of_appetite'}),0.06585365853658537,0.23414634146341465,0.06463414634146342,0.9814814814814815,4.191743827160494,1.0,0.049214753123140983,41.35609756097568,0.8151140450268486,0.27461139896373055,0.9758197688133994,0.6287615740740741
"frozenset({'dark_urine', 'nausea'})",frozenset({'yellowing_of_eyes'}),0.06585365853658537,0.16585365853658537,0.06463414634146342,0.9814814814814815,5.917755991285403,1.0,0.053712076145151694,45.04390243902446,0.8896004729297009,0.3868613138686131,0.9777994368637644,0.6855936819172114
"frozenset({'chills', 'cough'})",frozenset({'phlegm'}),0.06585365853658537,0.07195121951219512,0.06463414634146342,0.9814814814814815,13.640929064657879,1.0,0.05989589530041642,50.114634146341544,0.992019311296123,0.8833333333333332,0.9800457487711102,0.9398932831136222
"frozenset({'joint_pain', 'yellowish_skin'})",frozenset({'yellowing_of_eyes'}),0.06585365853658537,0.16585365853658537,0.06463414634146342,0.9814814814814815,5.917755991285403,1.0,0.053712076145151694,45.04390243902446,0.8896004729297009,0.3868613138686131,0.9777994368637644,0.6855936819172114
